time,rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_max (°C),temperature_2m_min (°C)
05-07-2025,3.8,8.9,35.8,26.5
06-07-2025,8,7.7,35.6,27.4
07-07-2025,12.9,6.8,33.5,26
08-07-2025,0,8.3,34.3,27
09-07-2025,17,11.9,32.2,26.6
10-07-2025,2.2,8,29.5,25.7
11-07-2025,0.5,4.8,31.5,25.6
12-07-2025,1.1,10,34,26.3
13-07-2025,19.6,9.1,32.5,26.2
14-07-2025,9.3,18.2,31.1,26.1
15-07-2025,8.6,16.8,32.5,25.8
16-07-2025,6,11,32.5,25.2
17-07-2025,0.9,12.5,31.3,26.8
18-07-2025,4.4,15.9,32.4,26.5
19-07-2025,0.2,15.7,32.9,25.9
20-07-2025,0,8.7,34.8,26.5
21-07-2025,0.6,6.3,31.4,26.9
22-07-2025,0.2,6.2,34.7,26
23-07-2025,3.1,9.8,33.6,27.4
24-07-2025,0.5,9.4,35.8,26.4
25-07-2025,0,10.7,36.5,26.9
26-07-2025,0.9,10.8,36.1,27
27-07-2025,0.5,11.3,36.3,28.9
28-07-2025,1.7,9.2,36.9,28.4
29-07-2025,3.7,10.1,32.8,26.8
30-07-2025,17.7,11,32,25.9
31-07-2025,19.6,10,31.4,25.5
01-08-2025,13.5,7.2,32,25.2
02-08-2025,0.8,10.8,32.8,26.2
03-08-2025,0.7,10.4,33.3,26.9
04-08-2025,0.4,10.9,31.1,25.8
05-08-2025,11.9,12.1,29.6,26
06-08-2025,1.7,8.9,32,26.4
07-08-2025,0,12.7,34.4,26.5
08-08-2025,0,11.9,33.7,26.9
09-08-2025,12.9,7.7,30.4,26.5
10-08-2025,1.9,5.4,32.3,25.9
11-08-2025,2.1,10.5,33.9,27
12-08-2025,0.5,8.2,33.3,26.6
13-08-2025,0,8.6,33.9,27.1
14-08-2025,7,7.9,29.5,26.2
15-08-2025,3.2,7.1,31.6,25.2
16-08-2025,2.9,7,31.2,26.3
17-08-2025,5.4,10.6,31.8,27.2
18-08-2025,5.5,13.3,32,27.1
19-08-2025,5.4,11,32,26.6
20-08-2025,5.3,11.6,32.7,26.6
21-08-2025,20.1,12.3,33.8,25
22-08-2025,3.3,7.5,34.5,25.6
23-08-2025,7,11.1,33,25.8
24-08-2025,16.5,12.9,31.5,25.9
25-08-2025,19.1,17.1,29.5,24.8
26-08-2025,7.6,18.6,30.2,25.2
27-08-2025,2.4,8.3,32.6,25.2
28-08-2025,21.5,8.6,32.7,25.5
29-08-2025,12.5,12.5,31.5,25
30-08-2025,0.5,12.4,32,26
31-08-2025,19.3,14.3,30,24.5
01-09-2025,37.7,16.4,28.6,24.3
02-09-2025,37.2,15.7,27.5,24
03-09-2025,15,10,29.5,24.1
04-09-2025,13.2,12,31.8,24
05-09-2025,4.9,15.9,31.2,25.4
06-09-2025,10.6,13.6,31.8,24.5
07-09-2025,2.1,9.8,32.2,24.9
08-09-2025,0.7,5.5,32,25
09-09-2025,0.5,10.4,32.5,26
10-09-2025,0.2,15.5,33.4,25.8
11-09-2025,0,15.1,33.5,25.1
12-09-2025,0,11.4,34.4,25.3
13-09-2025,0.9,11.5,35.8,27.5
14-09-2025,0.2,10.8,36.6,27.8
15-09-2025,0,13.5,37.3,28.5
16-09-2025,1,7.4,36.8,26.7
17-09-2025,0.1,9.6,35.8,25.9
18-09-2025,2.5,9,34.5,24.9
19-09-2025,0.5,12,35.2,26.6
20-09-2025,0,14.8,36.2,27.3
21-09-2025,0,14.4,36.6,26.4
22-09-2025,0,15.6,37.3,27
23-09-2025,0,16.4,37,27.2
24-09-2025,0,15.9,36.6,26.9
25-09-2025,0,13.2,36.5,26.9
26-09-2025,0,14.1,37.2,26.5
27-09-2025,0,8.8,38,27
28-09-2025,0,12.7,36.6,28.6
29-09-2025,0.2,8.3,36.4,27.5
30-09-2025,11.1,11.4,33.7,24.8
01-10-2025,5.3,11.2,32.3,23.8
02-10-2025,5.1,7.8,31,23.9
03-10-2025,0.7,6.7,32.7,24.3
04-10-2025,0,12.4,34.5,25.8
05-10-2025,0,13.6,34.1,25.1
06-10-2025,17.2,13.1,29.7,22.2
07-10-2025,8.3,13,28.7,20.8
08-10-2025,0.9,10.4,26.2,20
09-10-2025,0.1,8.5,28.4,20.8
10-10-2025,0,6.7,28.5,19.9
11-10-2025,0,8.5,28.9,19.6
12-10-2025,0,9.6,30.7,20.6
13-10-2025,0,8.8,31.7,20.5
14-10-2025,0,8.5,31.8,21.2
15-10-2025,0,9.2,31.9,20.6
16-10-2025,0,6.9,31.3,20.5
17-10-2025,0,7.4,31.9,20.9
18-10-2025,0,7.8,33.1,22.3
19-10-2025,0,9.3,33.5,22
20-10-2025,0,7.7,33,22.4
21-10-2025,0.4,8.9,30.8,22.9
22-10-2025,0,9,32.4,22.3
23-10-2025,0,8.9,32.1,21.5
24-10-2025,0,9.7,32,21
25-10-2025,0,8.9,31.8,20.3
26-10-2025,0,7,31.5,18.4
27-10-2025,0,13.3,30.2,18.6
28-10-2025,0,5.7,27,21.4
29-10-2025,0,8.6,28.9,20
30-10-2025,0.4,5.9,27.5,22
31-10-2025,0,7.3,30.4,21
01-11-2025,0,10.4,31.2,21.1
02-11-2025,0,12.8,29.5,19.8
03-11-2025,0,13.3,30.6,18.4
04-11-2025,0,10.4,28.6,17.9
05-11-2025,0,10.8,29.5,18.8
06-11-2025,0,10.2,26.5,16
07-11-2025,0,8.9,28,15.4
08-11-2025,0,9.3,27.1,14.4
09-11-2025,0,8.7,27.2,14.5
10-11-2025,0,7.9,27.4,13.9
11-11-2025,0,9.6,27.8,14.1
12-11-2025,0,12.4,27.6,14.5
13-11-2025,0,8.8,26.6,13.6
14-11-2025,0,8.7,26.5,13.9
15-11-2025,0,9.8,27,13.5
16-11-2025,0,11,27,13.1
17-11-2025,0,6.8,26.2,13.1
18-11-2025,0,7,26.2,13.5
19-11-2025,0,5.4,26.1,13.7
20-11-2025,0,6.4,26.5,14.4
21-11-2025,0,5.5,26.5,14.8
22-11-2025,0,6.7,26.4,14.9
23-11-2025,0,7.1,26.3,13.6
24-11-2025,0,6.2,25.1,12.9
25-11-2025,0,7.6,24.2,12
26-11-2025,0,6.8,24,11.6
27-11-2025,0,5.1,23.9,11.1
28-11-2025,0,7,25.5,11.6
29-11-2025,0,11.2,26,13.6
30-11-2025,0,13,24.1,12.1
01-12-2025,0,5.7,24.6,9.8
02-12-2025,0,9,25.7,12.1
03-12-2025,0,9.2,23,10.6
04-12-2025,0,10.2,22.4,10.2
05-12-2025,0,6.8,22.4,9.1
06-12-2025,0,12.3,24.2,10.5
07-12-2025,0,9.8,24.8,11.2
08-12-2025,0,12.7,25.9,12.4
09-12-2025,0,11.8,25,12.4
10-12-2025,0,9.6,24.8,12.5
11-12-2025,0,9.8,25.1,11.5
12-12-2025,0,4.9,24.5,10.9
13-12-2025,0,5.6,24.2,11.1
14-12-2025,0,3.7,24,10.8
15-12-2025,0,8.5,23.9,11.4
16-12-2025,0,11,23.9,11.9
17-12-2025,0,9.7,23.8,11.8
18-12-2025,0,7.7,22.6,11.8
19-12-2025,0,7.2,22.2,11.3
20-12-2025,0,6.4,21.2,9.6
21-12-2025,0,5.4,20.3,10.5
22-12-2025,0,4.6,21,11.2
23-12-2025,0,9.9,23.7,11.8
24-12-2025,0,11.2,21.6,11.9
25-12-2025,0,7.4,21.8,10
26-12-2025,0,7.8,21.2,10.2
27-12-2025,0,6.4,20.8,10.2
28-12-2025,0,5.7,21,9.8
29-12-2025,0,5.7,20,10.6
30-12-2025,0,7.2,21,9.8
31-12-2025,0,9.1,18.9,8.3
01-01-2026,1.2,8.6,17.3,10.1
02-01-2026,0,10.4,17.8,11.6
03-01-2026,0,7.1,17.7,11.1
04-01-2026,0,7.1,17.5,9
05-01-2026,0,7.4,17.6,8.6
06-01-2026,0,7.1,17.5,8.4
07-01-2026,0,10.4,15.6,8.1
08-01-2026,0,7.6,14.4,7.1
09-01-2026,0,7.5,17.5,6.2
10-01-2026,0,7.4,17.7,6.4
11-01-2026,0,9.2,16.9,6.2
12-01-2026,0,7.9,17.4,5
13-01-2026,0,8.9,18.5,4.2
14-01-2026,0,7.8,17.5,5.4
15-01-2026,0,9.3,17.8,6.1
16-01-2026,0,7.9,20.2,6.2
17-01-2026,0,5.9,22.1,6.3
18-01-2026,0,6.4,21.7,7.3
19-01-2026,0,7.4,24.7,9.5
20-01-2026,0,8.3,24.6,10.6
21-01-2026,0,8.9,23.5,9.9
22-01-2026,0,14,25,8.9
23-01-2026,25,18,17.4,12.9
24-01-2026,0,11.7,16.6,9.2
25-01-2026,0,9.3,16.6,6.7
26-01-2026,0,5.5,18.5,6.6
27-01-2026,8.8,14.1,19.5,10.4
28-01-2026,3.8,8.6,18.2,11.6
29-01-2026,0,9.3,18.5,10.4
30-01-2026,0,7.4,19.5,8.7
31-01-2026,0.7,8.4,19.8,8.3
01-02-2026,8.2,11.4,20.6,12.4
02-02-2026,0,8.6,20,11.8
03-02-2026,0,6.1,19.5,10.6
04-02-2026,0,9.4,20.4,10.7
05-02-2026,0,11.6,21.4,10.6
